timestamp,dut,test_case_id,status,error_message
1842-01-01,1408,dtmf_pbx,,18.6.0
1846-01-01,1408,dtmf_pbx,,18.6.0
,1408,dtmf_check_pbx,,*
,889,ipv4_cisco,,*
,889,ipv4_cisco_2,,*
,,,,
,admin,2024-07-27 14:44:26,,protocol/Ipv4/Testscript/tc_conf_ipv4_ihg_022.tcl
,admin,2024-07-27 14:45:42,,protocol/Ipv4/Testscript/tc_conf_ipv4_ihg_022.tcl
,930,ipv4_cisco_2,,*
,930,ipv6_cisco_test,,*
,1383,ipv4_cisco_2,,*
,30,ipv6_cisco_test,,*
,30,ipv6_test,,*
,31,ipv6_cisco_test,,*
2232-01-01,45,ipv6_test,,*
,1723,lacp_test,,*
,1557,ptp_bc_hirschman,,*
,2024-10-10 15:49:48,PTP-BC,,
,2024-10-10 16:22:45,PTP-BC,,
,2024-10-10 16:53:46,PTP-BC,,
,2024-10-10 16:54:22,PTP-BC,,
,2024-10-10 17:07:34,PTP-BC,,
,1557,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,2024-10-13 16:18:38,PTP-BC,,
,1557,ptp-tc_hirschman_ieee_tag__2step,,*
,2024-10-13 16:19:29,PTP-BC,,
,2024-10-13 16:21:38,PTP-BC,,
,2024-10-13 16:22:38,PTP-BC,,
,1557,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,2024-10-14 16:05:43,PTP-BC,,
,2024-10-14 16:07:49,PTP-BC,,
,1557,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1557,ptp_bc_hirschman_udp_mult_untag,,*
,1557,ptp-tc_hirschman_pp2_tag_2step,,*
,2024-10-16 15:02:49,PTP-BC,,
,1557,Kamailio_RTP,,5.3.9
,2024-11-11 12:52:45,PTP-BC,,
,1557,ptp_bc_sample,,*
,2025-01-08 11:31:19,PTP-BC,,
,2025-01-08 11:33:31,PTP-BC,,
,2025-01-08 11:35:05,PTP-BC,,
,2025-01-08 11:39:11,PTP-BC,,
,2025-01-08 11:55:14,PTP-BC,,
,2025-01-08 11:56:08,PTP-BC,,
,2025-01-08 12:01:14,PTP-BC,,
,2025-01-08 12:09:48,PTP-BC,,
,1558,ptp_bc_hirschman,,*
,2024-10-10 17:08:09,PTP-BC,,
,2024-10-10 17:16:14,PTP-BC,,
,when an announce message with same priority1 is received from the neighbour clock	admin	2024-10-10 17:51:17	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_002.tcl,,,
,when an announce message with same priority1 is received from the neighbour clock	admin	2024-10-13 17:41:28	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_002.tcl,,,
,when an announce message with same priority1 is received from the neighbour clock	admin	2024-10-13 18:56:04	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_002.tcl,,,
,when an announce message with same priority1 is received from the neighbour clock	admin	2024-10-14 15:32:05	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_002.tcl,,,
,when an announce message with same priority1 is received from the neighbour clock	admin	2024-10-15 15:27:21	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_002.tcl,,,
,when an announce message with same priority1 is received from the neighbour clock	admin	2024-10-15 16:31:12	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_002.tcl,,,
,when an announce message with same priority1 is received from the neighbour clock	admin	2024-10-15 17:51:46	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_002.tcl,,,
,1558,ptp-tc_hirschman_pp2_tag_2step,,*
,2024-10-16 15:05:19,PTP-BC,,
,1558,ptp_wr_xena_default,,*
,2024-11-15 12:34:15,PTP-BC,,
,2024-11-15 12:36:26,PTP-BC,,
,when an Announce message with same Priority1 is received from the neighbour clock	admin	2024-11-15 12:39:13	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_002.tcl,,,
,1558,ptp-bc_wr_ieee_vlan_enabled,,*
,when an announce message with same priority1 is received from the neighbour clock	admin	2025-01-08 13:39:13	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_002.tcl,,,
,1559,ptp_bc_hirschman,,*
,2024-10-10 17:17:23,PTP-BC,,
,2024-10-10 17:20:39,PTP-BC,,
,2024-10-10 17:46:57,PTP-BC,,
,2024-10-10 17:48:24,PTP-BC,,
,when an announce message with same Priority1 and clockClass value is received from the neighbour clock	admin	2024-10-13 17:42:18	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_003.tcl,,,
,when an announce message with same Priority1 and clockClass value is received from the neighbour clock	admin	2024-10-13 18:56:53	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_003.tcl,,,
,when an announce message with same Priority1 and clockClass value is received from the neighbour clock	admin	2024-10-14 15:33:01	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_003.tcl,,,
,when an announce message with same Priority1 and clockClass value is received from the neighbour clock	admin	2024-10-15 15:28:13	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_003.tcl,,,
,when an announce message with same Priority1 and clockClass value is received from the neighbour clock	admin	2024-10-15 16:32:04	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_003.tcl,,,
,when an announce message with same Priority1 and clockClass value is received from the neighbour clock	admin	2024-10-15 17:52:36	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_003.tcl,,,
,1559,ptp-tc_hirschman_pp2_tag_2step,,*
,2024-10-16 15:05:48,PTP-BC,,
,when an announce message with same Priority1 and clockClass value is received from the neighbour clock	admin	2025-01-08 13:40:56	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_003.tcl,,,
,when an announce message with same Priority1 and clockClass value is received from the neighbour clock	admin	2025-01-08 13:48:02	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_003.tcl,,,
,when an announce message with same Priority1 and clockClass value is received from the neighbour clock	admin	2025-01-08 19:22:27	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_003.tcl,,,
,when an announce message with same Priority1,clockClass and clockAccuracy value is received from the neighbour clock	admin	2024-10-13 17:43:10	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_004.tcl,,
,when an announce message with same Priority1,clockClass and clockAccuracy value is received from the neighbour clock	admin	2024-10-13 18:57:45	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_004.tcl,,
,when an announce message with same Priority1,clockClass and clockAccuracy value is received from the neighbour clock	admin	2024-10-14 15:33:51	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_004.tcl,,
,1560,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,2024-10-14 18:42:35,PTP-BC,,
,when an announce message with same Priority1,clockClass and clockAccuracy value is received from the neighbour clock	admin	2024-10-15 15:29:04	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_004.tcl,,
,when an announce message with same Priority1,clockClass and clockAccuracy value is received from the neighbour clock	admin	2024-10-15 16:32:56	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_004.tcl,,
,when an announce message with same Priority1,clockClass and clockAccuracy value is received from the neighbour clock	admin	2024-10-15 17:53:38	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_004.tcl,,
,1560,ptp-tc_hirschman_pp2_tag_2step,,*
,2024-10-16 15:06:18,PTP-BC,,
,when an announce message with same Priority1,clockClass and clockAccuracy value is received from the neighbour clock	admin	2025-01-08 13:55:59	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_004.tcl,,
,when an announce message with same Priority1,clockClass and clockAccuracy value is received from the neighbour clock	admin	2025-01-08 15:28:55	PTP-BC	protocol/Ptp-bc/Testscript/tc_conf_ptp-bc_beg_004.tcl,,
,when an announce message with same Priority1,clockClass,,
,1561,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,2024-10-14 18:41:08,PTP-BC,,
,1561,ptp-tc_hirschman_pp2_tag_2step,,*
,2024-10-16 15:06:48,PTP-BC,,
,1562,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1562,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1562,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1562,ptp_bc_hirschman_udp_mult_untag,,*
,1562,ptp-tc_hirschman_pp2_tag_2step,,*
,1562,ptp_oc_hir_udp_mul_untag_def,,*
,1562,ptp_oc_ieee_untag_1step,,*
,2024-11-08 13:12:44,PTP-BC,,
,1562,ptp_bc_sample,,*
,1563,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1563,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1563,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1563,ptp_bc_hirschman_udp_mult_untag,,*
,1563,ptp-tc_hirschman_pp2_tag_2step,,*
,1563,ptp_bc_sample,,*
,1564,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1564,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1564,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1564,ptp_bc_hirschman_udp_mult_untag,,*
,1564,ptp-tc_hirschman_pp2_tag_2step,,*
,1564,ptp_bc_sample,,*
,1565,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1565,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1565,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1565,ptp_bc_hirschman_udp_mult_untag,,*
,1565,ptp-tc_hirschman_pp2_tag_2step,,*
,1565,ptp_bc_sample,,*
,1566,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1566,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1566,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1566,ptp_bc_hirschman_udp_mult_untag,,*
,1566,ptp-tc_hirschman_pp2_tag_2step,,*
,1566,ptp_bc_sample,,*
,1567,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1567,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1567,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1567,ptp_bc_hirschman_udp_mult_untag,,*
,1567,ptp-tc_hirschman_pp2_tag_2step,,*
,1567,ptp_bc_sample,,*
,1568,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1568,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1568,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1568,ptp_bc_hirschman_udp_mult_untag,,*
,1568,ptp-tc_hirschman_pp2_tag_2step,,*
,1568,ptp_bc_sample,,*
,1569,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1569,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1569,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1569,ptp_bc_hirschman_udp_mult_untag,,*
,1569,ptp-tc_hirschman_pp2_tag_2step,,*
,1569,ptp_bc_sample,,*
,1570,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1570,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1570,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1570,ptp_bc_hirschman_udp_mult_untag,,*
,1570,ptp-tc_hirschman_pp2_tag_2step,,*
,1571,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1571,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1571,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1571,ptp_bc_hirschman_udp_mult_untag,,*
,1571,ptp-tc_hirschman_pp2_tag_2step,,*
,1571,ptp_bc_sample,,*
,1572,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1572,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1572,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1572,ptp_bc_hirschman_udp_mult_untag,,*
,1572,ptp-tc_hirschman_pp2_tag_2step,,*
,1573,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1573,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1573,ptp-bc_hirshman_ieee_mul_untag_2step,,*
,1573,ptp_bc_hirschman_udp_mult_untag,,*
,1573,ptp-tc_hirschman_pp2_tag_2step,,*
,1574,ptp_bc_hirshman_ieee_mul_tag_two_step,,*
,1574,ptp_bc_hirshman_ieee_mul_untag_one_step,,*
,1574,ptp-bc_hirshman_ieee_mul_untag_2step,,*
